phi,cp_ideal,cp_real,cp_m1,cp_m2_ave
0.2,1259.3564147599325,1256.5004933395476,1305.8449672997638,1259.249583954811
0.26666666666666666,1344.4783988797494,1332.7501531999003,1407.9539851090403,1344.366143404142
0.33333333333333337,1424.7261700699548,1399.7439349386686,1505.1044415382025,1424.610315856414
0.4,1500.7907970524955,1461.0448297558137,1598.0614816422135,1500.6730558037675
0.4666666666666667,1573.1265664411344,1518.4814187157133,1687.3543789838495,1573.0083620421142
0.5333333333333333,1642.1533552108451,1572.9748413571183,1773.37010209892,1642.0357154293847
0.6000000000000001,1708.2899940795683,1625.0447175513664,1856.4043967140956,1708.1734995909635
0.6666666666666667,1771.9463020859137,1675.0168655497168,1936.691860548041,1771.8310914947717
0.7333333333333334,1833.50797633931,1723.1126509712735,2014.4245863543736,1833.393786445135
0.8,1893.323393540051,1769.4911527208121,2089.764163336843,1893.209629846607
0.8666666666666667,1951.694521425143,1814.270731980093,2162.8496377219794,1951.5803696384064
0.9333333333333333,2008.8720025183507,1857.540715589253,2233.8029293981826,2008.7568523482166
1.0,2064.5170913632824,1899.3679254885342,2302.7326034672706,2064.9385263074987
1.0666666666666667,2107.942503173012,1939.8003133170228,2346.2077662187735,2107.908934341555
1.1333333333333333,2149.8937951667867,1978.8689227305667,2387.8761383483984,2149.8262910913613
1.2,2190.521758227783,2016.5889372175334,2427.8043217510485,2190.4420767578936
1.2666666666666666,2229.7091119370402,2052.960498843708,2466.056990116132,2229.6238388995193
1.3333333333333333,2267.404789284577,2087.970051162337,2502.6975500333447,2267.3167235131114
1.4,2303.605046658326,2121.5931564019543,2537.7883761912776,2303.5156413895074
1.4666666666666666,2338.3360989910243,2153.7998013986958,2571.3908106908293,2338.2462398696925
1.5333333333333332,2371.6419559128017,2184.5626714283203,2603.565044400343,2371.5522524297585
1.5999999999999999,2403.5763813834765,2213.86737938567,2634.369951643178,2403.487283289457
1.6666666666666665,2434.1977281540444,2241.7215099345644,2663.862919569984,2434.1095881146007
1.7333333333333332,2463.5656982648484,2268.158275100283,2692.099694612094,2463.4787985583903
1.8,2491.739362562694,2293.2325423616776,2719.134256656568,2491.6539307998282
