phi,cp_ideal,cp_real,cp_m1,cp_m2_ave
0.2,1081.2394456225343,1081.2383548509133,1074.7451205017505,1081.205573904214
0.26666666666666666,1109.713078305258,1109.705319458158,1104.108942029447,1109.6738230553597
0.33333333333333337,1137.141996658856,1137.113342463354,1135.2687659242845,1137.0999467351883
0.4,1163.1924454782154,1163.1184584004354,1167.055643279036,1163.1480400531093
0.4666666666666667,1188.1074020263898,1187.955070845352,1198.608176576706,1188.0611134605458
0.5333333333333333,1212.0666760768588,1211.7956466735025,1229.349249605303,1212.018882385888
0.6000000000000001,1235.207091017054,1234.7673338998686,1258.9331442542912,1235.1581030208342
0.6666666666666667,1257.6351430860677,1256.9572134168243,1286.7998277347103,1257.5852194436043
0.7333333333333334,1279.4352424673773,1278.4059859089848,1313.4620349948204,1279.384602567142
0.8,1300.6753505212332,1299.0844803426066,1339.5963073947566,1300.624182523548
0.8666666666666667,1321.4109682930941,1318.8362980632346,1365.238178194069,1321.3594355559078
0.9333333333333333,1341.6880288791872,1337.2302721979024,1390.4192884565289,1341.6362741695013
1.0,1361.544891744642,1353.125429845754,1415.1679671361178,1361.4931833851522
1.0666666666666667,1372.7479703896672,1364.496982186381,1426.3989524055798,1372.6956887215576
1.1333333333333333,1383.7683491323523,1372.4112949678508,1437.4331303727665,1383.715663972306
1.2,1394.6106741636052,1379.574250310359,1448.2756097130093,1394.5576128078635
1.2666666666666666,1405.2792778321184,1386.781486626697,1458.9313106330217,1405.2258667601486
1.3333333333333333,1415.7783306518975,1394.157576148625,1469.4049738739393,1415.7245932138624
1.4,1426.1118504710964,1401.6905775191453,1479.70116920605,1426.057817731544
1.4666666666666666,1436.2837108800616,1409.3416497198773,1489.82430344642,1436.2294046332306
1.5333333333333332,1446.2976489614177,1417.0718410354793,1499.7786280287046,1446.2430915047064
1.5999999999999999,1456.1572724495345,1424.848801780702,1509.5682461526792,1456.1024866236262
1.6666666666666665,1465.8660663646765,1432.6475838947572,1519.1971195392748,1465.811075510709
1.7333333333333332,1475.427399153745,1440.4497080584263,1528.669074815338,1475.3722244113928
1.8,1484.844528410078,1448.2418859209765,1537.9878095507809,1484.7891885515319
