phi,"q0_p,ideal - q0_p,real (MJ/kg)",q0_p disociación (MJ/kg)
0.2,0.05901274617806207,0.05901304187807348
0.26666666666666666,0.2634517956810116,0.26345306813205405
0.33333333333333337,0.5915879045484895,0.5915907016609139
0.4,0.9811611195333501,0.9811656998237092
0.4666666666666667,1.398392717835399,1.3983991926982198
0.5333333333333333,1.8272669379977806,1.827275352579306
0.6000000000000001,2.259784382028829,2.259794750143894
0.6666666666666667,2.6917405198265234,2.691752839987869
0.7333333333333334,3.1208980078933415,3.1209122714499475
0.8,3.5461336117330937,3.5461498074419824
0.8666666666666667,3.967009837188562,3.9670279540658555
0.9333333333333333,4.383532655657525,4.383552685000587
1.0,4.76687611093624,4.766898101664959
1.0666666666666667,4.541284161865467,4.541309230576773
1.1333333333333333,4.3078469606552625,4.307875124131703
1.2,4.08836215978885,4.0883934045865695
1.2666666666666666,3.884362573725852,3.8843968952785404
1.3333333333333333,3.697012799423158,3.697050204302077
1.4,3.5275020043759744,3.527542511344136
1.4666666666666666,3.377017738208721,3.3770613783425687
1.5333333333333332,3.246601161290016,3.2466479767993977
1.5999999999999999,3.1369522655207787,3.137002306966745
1.6666666666666665,3.048262424772661,3.048315746846079
1.7333333333333332,2.9801607474228113,2.980217404102519
1.8,2.9318128011046385,2.931872841395917
