phi,"q0_p,ideal - q0_p,real (MJ/kg)",q0_p disociación (MJ/kg)
0.2,1.0287910831574543e-05,1.0287900154013187e-05
0.26666666666666666,7.613793556271453e-05,7.613797480601352e-05
0.33333333333333337,0.00030894608166465165,0.00030894636265735607
0.4,0.0008685174401781293,0.0008685184225630946
0.4666666666666667,0.0019361809484961245,0.0019361835991060362
0.5333333333333333,0.003715632768676036,0.003715638996231137
0.6000000000000001,0.006478273919731992,0.006478287288314197
0.6666666666666667,0.010674957582759381,0.010674984477084828
0.7333333333333334,0.017174057634539608,0.017174109318090602
0.8,0.02775949355730889,0.027759590121504384
0.8666666666666667,0.04621131602894657,0.046211494544859975
0.9333333333333333,0.08101223305459904,0.0810125666074967
1.0,0.15340007865090088,0.1534007292913003
1.0666666666666667,0.11891262398906433,0.11891426073869085
1.1333333333333333,0.14845766048037712,0.14846057517796896
1.2,0.19570612978984325,0.19571042858191115
1.2666666666666666,0.24595944684571514,0.24596516998530832
1.3333333333333333,0.2960745063610304,0.29608167439018285
1.4,0.34533913504793734,0.3453477593543441
1.4666666666666666,0.39364419905516757,0.393654285411004
1.5333333333333332,0.441042374409792,0.44105392473955407
1.5999999999999999,0.48762103137465296,0.48763404485517925
1.6666666666666665,0.5334641245433769,0.5334785983538902
1.7333333333333332,0.5786425119510978,0.578658441804171
1.8,0.623213486656367,0.623230867181005
