phi,p,T_r,S_L_Cantera,S_L_analitica
1.0,1575000.0,300.0,10.990773493923832,14.578419491456426
1.0,3050000.0,300.0,8.718295984048124,10.703725544738123
1.0,4525000.0,300.0,7.937642445773761,8.887741896095157
1.0,6000000.0,300.0,7.558984073686656,7.776118151486723
1.0,100000.0,373.0,54.50322305747568,58.62951259268522
1.0,1575000.0,373.0,16.32382171734434,16.950541922382673
1.0,3050000.0,373.0,12.856785842655077,12.46513751346694
1.0,4525000.0,373.0,11.630876396438795,10.359625733916584
1.0,6000000.0,373.0,11.022428596041918,9.069508918748094
1.0,100000.0,500.0,91.8487730860216,74.7759130107486
1.0,1575000.0,500.0,29.491791335322056,21.86178132402421
1.0,3050000.0,500.0,23.01108366397565,16.120652724317537
1.0,4525000.0,500.0,20.65535962309222,13.418730757930522
1.0,6000000.0,500.0,19.424124654347835,11.760456707447812
1.0,200000.0,300.0,29.34419992843428,37.35655457324054
1.0,300000.0,300.0,24.47938080586504,31.148019256435223
1.0,700000.0,300.0,16.139844612770936,21.197109028980083
1.0,101325.0,300.0,38.27462005773905,50.48122760442627
1.0,200000.0,373.0,42.38014404141057,43.208405073892
1.0,300000.0,373.0,35.57094868782843,36.06408730591963
1.0,500000.0,373.0,28.023847274078623,28.655820582595226
1.0,700000.0,373.0,23.785655782618623,24.595907794426925
1.0,101325.0,373.0,54.53762165399836,58.2933172931921
1.0,200000.0,500.0,72.7876419915664,55.25139761957303
1.0,300000.0,500.0,61.84013889110549,46.19075443408387
1.0,500000.0,500.0,49.50307666944022,36.779979324607694
1.0,700000.0,500.0,42.3682615646349,31.61383963659155
1.0,101325.0,500.0,91.38744779897162,74.3506147828639
1.0,100000.0,357.1428571428572,50.69156261847185,56.82622147187559
1.0,500000.0,357.1428571428572,25.88136115081633,27.750976229257525
1.0,1000000.0,357.1428571428572,18.45034206751455,20.227953315237755
1.0,100000.0,471.4285714285714,82.37860533169179,70.8958989254292
1.0,500000.0,471.4285714285714,43.95811158496426,34.82404641458657
1.0,1000000.0,471.4285714285714,31.70820830344553,25.45132181105263
1.0,100000.0,300.0,38.23103533028453,50.77392010456937
1.0,500000.0,300.0,19.068532606286766,24.717303323639005
1.0,1000000.0,300.0,13.51301277795877,17.991644941038203
1.0,100000.0,357.14285714285717,50.69156261847185,56.82622147187559
1.0,500000.0,357.14285714285717,25.88136115081633,27.750976229257525
1.0,1000000.0,357.14285714285717,18.45034206751455,20.227953315237755
1.0,100000.0,414.2857142857143,65.30482830239367,63.557157127764796
1.0,500000.0,414.2857142857143,34.117213302634156,31.13090222476565
1.0,1000000.0,414.2857142857143,24.44042013980744,22.722311399656753
1.0,100000.0,471.42857142857144,82.37860533169179,70.8958989254292
1.0,500000.0,471.42857142857144,43.958111584964264,34.82404641458657
1.0,1000000.0,471.42857142857144,31.708208303445534,25.45132181105263
1.0,100000.0,528.5714285714286,101.87786347033637,78.78814694738082
1.0,500000.0,528.5714285714286,55.645318048688665,38.80494458151732
1.0,1000000.0,528.5714285714286,40.44005091310513,28.396937163949936
1.0,100000.0,585.7142857142858,124.2695053631881,87.1857751276029
1.0,500000.0,585.7142857142858,69.50273831550501,43.05077591026145
1.0,1000000.0,585.7142857142858,50.920205209668545,31.542895258357916
1.0,100000.0,642.8571428571429,149.77120212410156,96.04190233380784
1.0,500000.0,642.8571428571429,85.90077554190106,47.539037255644125
1.0,1000000.0,642.8571428571429,63.4731875444418,34.873037980679726
1.0,100000.0,700.0,178.50372107638717,105.30841473878894
1.0,500000.0,700.0,104.74203966642588,52.246401813317576
1.0,1000000.0,700.0,78.15492312939895,38.3704918405808
