phi,Dq0_p (J/kg),q0_p disociación (J/kg),Error relativo (porcentaje)
0.2,10.287910831574543,10.287900154013187,0.00010378746016349383
0.26666666666666666,76.13793556271453,76.13797480601352,-5.154237331954001e-05
0.33333333333333337,308.9460816646517,308.9463626573561,-9.09520207830558e-05
0.4,868.5174401781293,868.5184225630946,-0.000113110562888297
0.4666666666666667,1936.1809484961245,1936.1835991060361,-0.00013689887371614212
0.5333333333333333,3715.632768676036,3715.638996231137,-0.00016760416027520212
0.6,6478.273919733324,6478.287288315361,-0.000206360246618771
0.6000000000000001,6478.273919761524,6478.287288344232,-0.00020636025697876669
0.6666666666666667,10674.957582738287,10674.984477063641,-0.0002519384751239407
0.7333333333333334,17174.057634539608,17174.109318090603,-0.00030093966198924485
0.8,27759.49355730889,27759.590121504385,-0.00034786007638864727
0.8666666666666667,46211.31602894657,46211.494544859976,-0.0003863034614659143
0.9333333333333333,81012.23305459904,81012.5666074967,-0.0004117315189122234
1.0,153400.0786509009,153400.7292913003,-0.00042414606636524015
1.0666666666666667,118912.62398906432,118914.26073869085,-0.001376430501340833
1.1333333333333333,148457.66048037712,148460.57517796895,-0.0019633190920530586
1.2,195706.12978984325,195710.42858191114,-0.0021965546365370903
1.2666666666666666,245959.44684571514,245965.1699853083,-0.0023268630933147203
1.3333333333333333,296074.5063610304,296081.67439018283,-0.002421022073308247
1.4,345339.13504793734,345347.7593543441,-0.0024973440689166067
1.4666666666666666,393644.19905516756,393654.285411004,-0.0025623026734881865
1.5333333333333332,441042.374409792,441053.92473955406,-0.0026188707553332215
1.5999999999999999,487621.031374653,487634.04485517927,-0.0026687693288356346
1.6666666666666665,533464.1245433768,533478.5983538902,-0.0027131741100259394
1.7333333333333332,578642.5119510979,578658.4418041711,-0.0027529697082732023
1.8,623213.486656367,623230.867181005,-0.0027888556666579205
