phi,p,T_r,T_ad_real,T_ad_ideal,T_ad_m1,T_ad_m2,q0_p_real,q0_p_ideal,q0_p_m1,q0_p_m2,cp_p_real,cp_p_ideal,Dq0_p_Jkg,q0_p_dis_Jkg,Error_rel_pct
0.2,101325.0,298.0,2151.872677585003,2194.527982197654,2160.4436609558657,2194.0047158615725,2.329391933974265,2.388404680152327,2.3889117962147366,2.3875431496250448,1282.299092698809,1285.7454602180842,59012.74617806207,59013.04187807348,-0.0005010782086154
0.2666666666666666,101325.0,298.0,2452.3430857578605,2629.5011054709485,2581.327041138622,2628.863387339993,2.8712010775889345,3.134652873269946,3.135330104671145,3.133533822840181,1362.854362667798,1377.2573746479832,263451.79568101163,263453.06813205406,-0.0004829919792883
0.3333333333333333,101325.0,298.0,2631.493519273879,3005.8054621410984,2942.305696954232,3005.06868705614,3.266293400822301,3.857881305370791,3.858728706018074,3.856517977312056,1433.309144099553,1464.4957791863185,591587.9045484895,591590.7016609139,-0.000472814336278
0.4,101325.0,298.0,2746.917207885609,3335.82442800733,3255.958216160692,3334.999779820819,3.577977825081312,4.559138944614662,4.560156328107249,4.557543740059078,1497.5787953446231,1548.0571935979558,981161.11953335,981165.6998237092,-0.0004668234674111
0.4666666666666667,101325.0,298.0,2827.5135092278306,3628.572435656781,3531.602718058828,3627.668582623802,3.841019262152839,5.239411979988238,5.240598948035961,5.237596523296155,1557.6814331372575,1628.237848419191,1398392.717835399,1398399.1926982198,-0.0004630217776537
0.5333333333333333,101325.0,298.0,2886.955273366784,3890.617236192954,3776.269802944029,3889.641515814581,4.072361510404792,5.899628448402573,5.900984416348133,5.897603645986475,1614.6195226856762,1705.2218060118714,1827266.9379977805,1827275.3525793056,-0.0004605009454498
0.6,101325.0,298.0,2932.314015487176,4126.777596272184,3995.3405579553305,4125.736792668638,4.280878075238984,6.540662457267792,6.54218667825709,6.538438552645876,1668.9489098013714,1779.153936156193,2259784.3820288074,2259794.7501438707,-0.0004588099265462
0.6000000000000001,101325.0,298.0,2932.314015487176,4126.777596272184,3995.3405579553296,4125.736792668638,4.280878075238995,6.540662457267792,6.54218667825709,6.538438552645878,1668.9489098013732,1779.153936156193,2259784.3820287967,2259794.7501438595,-0.0004588099265256
0.6666666666666667,101325.0,298.0,2967.5835786974367,4340.6383292240325,4192.989298048372,4339.53911969093,4.471597518312777,7.1633380381393,7.165029632274188,7.1609246697608,1721.0117509547238,1850.1687448021733,2691740.5198265235,2691752.8399878694,-0.0004577024142978
0.7333333333333334,101325.0,298.0,2995.1739973269323,4534.9232884757885,4372.497062049668,4533.772474543576,4.647534636664797,7.768432644558138,7.770290662067508,7.765838935623527,1771.0357596580832,1918.401233158048,3120898.0078933416,3120912.271449948,-0.0004570337309986
0.8,101325.0,298.0,3016.6044883761733,4711.762714903594,4536.47597266778,4710.567369033916,4.8105465899287285,8.356680201661822,8.358703873386089,8.353915035401917,1819.1804939005883,1983.990006144314,3546133.611733094,3546149.8074419824,-0.000456714570342
0.8666666666666667,101325.0,298.0,3032.852554878817,4872.882332131731,4687.031307963818,4871.650416160257,4.961762946597619,8.928772783786181,8.930963064389141,8.925846369766886,1865.5606860096043,2047.0768675087515,3967009.837188562,3967027.954065856,-0.0004566884892455
0.9333333333333332,101325.0,298.0,3044.541742821872,5019.727296773341,4825.879738448831,5018.476134903028,5.101813114357094,9.48534577001462,9.487724454649827,9.48228878233268,1910.2586253645725,2107.8046953759663,4383532.655657525,4383552.685000587,-0.0004569224101987
1.0,101325.0,298.0,3052.0475421354668,5140.694555333963,4954.436497423768,5152.315487246167,5.230949566802638,9.997825677738875,10.0296091954023,10.023863068465769,1953.330849707856,2166.074564482506,4766876.110936239,4766898.101664959,-0.0004613236888963
1.0666666666666669,101325.0,298.0,3055.559045549763,4989.967663978224,4790.777660117318,4990.664751371982,5.3491139005476205,9.890398062413087,9.897380326144136,9.891709955286691,1994.8116627084128,2216.9361444221795,4541284.161865467,4541309.230576773,-0.0005520181167361
1.1333333333333333,101325.0,298.0,3055.115784508612,4839.53490043995,4640.367587629411,4839.295319557912,5.455970742333997,9.76381770298926,9.768592659895512,9.762996073595744,2034.7148422802704,2265.081858873178,4307846.960655263,4307875.124131703,-0.0006537715173577
1.2,101325.0,298.0,3050.631119183959,4698.452808455322,4501.5752259988185,4697.837363099394,5.550925463187089,9.63928762297594,9.643113588314437,9.63758889102441,2073.0344576385105,2310.8708135712527,4088362.1597888498,4088393.4045865694,-0.0007642375234501
1.2666666666666666,101325.0,298.0,3041.9103518223774,4566.494974269217,4373.037059744956,4565.69862809422,5.6331395646596825,9.517502138385534,9.520817230146433,9.515362598437646,2109.7456667839774,2354.4794453057307,3884362.573725852,3884396.895278541,-0.000883582622292
1.3333333333333333,101325.0,298.0,3028.671067574457,4443.079102112859,4253.603414855699,4442.192821188828,5.701559408670953,9.39857220809411,9.401584009993757,9.39619768894441,2144.8065703276147,2396.058956019941,3697012.7994231577,3697050.204302077,-0.0010117595190721
1.4,101325.0,298.0,3010.57352194243,4327.544664451749,4142.296956147939,4326.616260036542,5.7549774203902055,9.28247942476618,9.285300268344592,9.279980568150274,2178.1625057876263,2435.741351049585,3527502.004375974,3527542.511344136,-0.0011483187851149
1.4666666666666666,101325.0,298.0,2987.268005415959,4219.233837230632,4038.2804987704376,4218.289932120733,5.79214489597276,9.16916263418148,9.1718579001889,9.166603192980318,2209.754229633801,2473.6429972698224,3377017.7382087214,3377061.378342569,-0.0012922684223338
1.5333333333333332,101325.0,298.0,2958.4607886562903,4117.52447181296,3940.831873333308,4116.580310587765,5.811943327697282,9.058544488987298,9.061154019805556,9.05596273665834,2239.530613635324,2509.8674633367687,3246601.161290016,3246647.9767993977,-0.0014419852348941
1.6,101325.0,298.0,2923.9881588470216,4021.8432938392352,3849.324132697384,4020.907684958696,5.813589523524457,8.950541789045236,8.953090649536046,8.947961277658816,2267.464178168406,2544.507813656187,3136952.2655207785,3137002.3069667453,-0.0015952249741518
1.6666666666666663,101325.0,298.0,2883.8732431191715,3931.669522214513,3763.2098224729375,3930.7474957703575,5.796807671064498,8.845070095837158,8.847574430565759,8.842505510653933,2293.5645699308825,2577.648434350036,3048262.4247726607,3048315.746846079,-0.0017492612507651
1.7333333333333332,101325.0,298.0,2838.3364790526703,3846.5337208918304,3682.008364906728,3845.62804647498,5.761885206502431,8.742045953925242,8.74451635391855,8.739506477662234,2317.883610901715,2609.36647073238,2980160.747422811,2980217.404102519,-0.001901128311855
1.8,101325.0,298.0,2787.749769191113,3766.014401499728,3605.295848100264,3765.12647811311,5.709575193046537,8.641387994151176,8.643831510035318,8.638879317770696,2340.508643847603,2639.7329547673344,2931812.8011046383,2931872.8413959173,-0.0020478896625482
1.0,101325.0,300.0,3052.224735485518,5141.663813022469,4955.946535623592,5153.299865996218,5.228469734784584,9.997543379916449,10.0296091954023,10.023863068465769,1953.609267536159,2166.253358492713,4769073.645131865,4768802.92169581,0.0056766461623237
1.0,101325.0,350.0,3056.704994196956,5166.230513860002,4993.924285275751,5178.253056054425,5.166059657967732,9.990453068220628,10.0296091954023,10.023863068465769,1960.4981338668288,2170.6763843015287,4824393.410252896,4817142.1388808815,0.150304313006566
